x,y
716139,621721
608529,586311
557378,567033
589994,610890
589344,563119
624415,515911
565483,551512
584895,574666
582777,542670
639394,576728
608298,573748
663578,586265
628080,562986
597421,554767
595193,576508
658103,572250
659529,498474
606415,581386
641976,577433
587466,564953
589180,595099
601885,573083
580561,528916
621726,578003
558817,576255
620213,574468
594010,570095
541976,512639
593840,578685
602667,575857
631446,561156
596481,567449
611318,581584
568546,564911
593865,572987
597017,575588
578804,573582
673750,594081
592714,553958
594029,586701
668502,563937
629533,537542
801539,318482
801667,318542
814045,332998
800479,321640
757470,224976
844536,424646
797105,316002
779956,271501
797205,313318
801323,316240
783666,262902
806131,312752
830658,368694
802482,335269
801910,325434
808062,337340
789833,304422
803603,327255
800865,312968
802237,318526
803959,315173
800123,312312
780927,285057
797242,324588
801551,320544
809182,319115
801931,317202
870801,476330
820327,352701
801093,317509
798523,324500
805237,318655
803375,311620
801441,323812
797313,317527
788220,301915
790395,300024
817135,349925
797787,301470
804630,332333
808710,330379
802111,320817
796375,309563
819768,346596
814605,354382
800565,319364
802089,313456
814401,341234
796609,319691
776131,248465
803464,329093
802646,317894
809550,327365
795322,311178
830450,393096
778414,260729
800041,318331
802814,320130
802738,312234
823913,369439
803386,318982
812869,346251
798904,324420
800447,331643
807446,342555
804251,329956
797594,302109
803448,314797
765502,240340
795527,315510
794640,313497
808717,335740
790932,305223
816852,352965
826228,376658
795299,312036
808686,332209
809594,344872
799275,324108
878184,487392
798472,322218
824822,367091
746769,205186
756701,207223
795489,287279
800483,320713
783491,288029
797162,306135
800272,316170
806827,324616
802853,314938
800804,316615
813173,354777
801588,319814
797400,315778
823840,368410
811391,343836
801055,321833
804038,306622
803780,334441
834173,386159
802784,313853
807293,347456
817119,336333
786635,269352
824624,381716
797415,319840
800772,325023
806626,318966
800845,311838
769386,259892
797272,324228
807409,325526
795836,291870
798321,319665
805372,313397
790738,308028
800667,315995
795205,316433
809054,345541
808452,320117
779897,279572
782642,275308
797569,321799
801751,318110
787644,297715
807401,314610
800677,310656
800394,301473
795571,310093
814158,335578
811913,325091
806982,316680
775604,274485
800133,327081
806511,313841
803796,314893
802012,318315
826789,377676
814108,344096
804354,309671
807017,330432
803774,334756
817410,346944
841928,398948
816145,349032
818622,370753
786245,292352
784164,285702
805390,319676
790774,303642
803277,319525
833182,379714
773023,251826
801609,320399
778965,282290
814317,333112
805080,323708
801080,318049
799724,318884
798059,316113
806176,320301
769876,257669
825716,373098
791983,298565
801386,313545
804871,317801
810903,332925
838276,395673
810543,341180
777978,252419
820258,351165
801997,319385
779437,281959
810253,323873
794826,309589
814280,344223
832651,373469
794142,306704
802041,319504
804190,320706
798983,325682
840462,402858
799912,323363
804119,328544
804358,320802
803057,331037
803031,325811
784151,283760
800444,311497
802004,317772
803470,319069
811277,335577
803332,315488
800037,317963
813436,360446
800694,316789
838129,404012
764997,249477
800316,311699
806848,320541
805462,317833
798308,312788
802655,316263
801456,320080
801309,318213
840886,397888
829529,375007
830805,370801
804979,334141
804013,316083
808489,317021
770113,241615
804332,319006
833661,389733
797834,297329
794956,309980
801232,307078
809552,342258
794615,305632
809259,345634
811502,355939
801301,316893
803370,318247
804702,315881
797009,293194
813791,334609
812965,330224
826048,374236
800959,322309
803405,317316
802254,320673
783116,265635
798633,317300
801482,327644
798612,326404
799001,302014
802537,312497
799794,315080
793892,313943
804691,332987
793855,298525
796952,318633
800655,320227
801780,318992
805977,320805
796916,323332
820904,351763
808405,318841
765283,249459
824212,363776
798981,311092
797178,310439
800582,316980
803839,310353
796283,315582
801145,317601
801662,318423
801782,318281
803377,319212
803932,318781
806192,337849
789583,287700
801586,318947
804251,331304
799667,316830
759789,229116
799021,326404
793684,312065
806320,315242
786234,267976
821151,366545
801903,312794
782506,279930
803627,319323
794991,291216
794667,315069
799291,317500
798243,324160
804408,337683
818119,348676
810502,336169
793560,285392
801326,315779
808644,326320
813645,328765
800966,317165
797111,302781
802431,322048
811061,333595
786719,283364
773955,239849
803701,321815
783110,289805
800235,316652
807421,317527
797947,319734
805035,317469
801166,322298
846693,429031
801493,322249
806087,326636
810657,329468
801313,300606
800390,309948
801634,318965
799197,314215
795254,296488
807696,320548
800461,326821
801174,320442
809781,326904
826585,366934
804429,312164
788005,292268
801183,316191
378274,816341
406233,813072
401478,785370
448651,847994
434440,822866
369199,734895
413241,771595
369418,733394
378563,789670
424190,780052
415993,776671
421352,799127
432656,783776
383032,788008
414377,771258
425260,773661
469139,810971
442979,803024
347079,803582
412797,803180
352874,807952
442286,755194
416433,786159
419700,793447
422961,821595
400008,789447
429586,775621
457561,788245
415417,785827
389552,750700
415598,786499
443447,783977
404792,749210
389392,730768
473485,847098
491614,778997
437483,785130
452570,848127
417197,778243
405986,787439
437568,794323
420319,794333
418963,746595
469422,822619
397688,762902
418149,790096
407289,798870
360319,778673
473799,795167
445199,763833
446537,828924
410019,732704
396540,815936
407694,718592
417091,792545
442260,754050
411526,784658
407814,765816
394022,803914
481133,781413
396118,794614
458538,786673
419721,789724
424476,781552
377720,727349
448336,789445
412227,787450
408745,824896
417016,774869
395274,786698
412541,806622
412109,735920
407023,787385
376660,815936
396548,784388
508535,830710
414014,816460
440782,782395
436951,814456
393758,750953
418410,795929
425991,787029
414562,787355
414564,787356
